Operator,Reservoir,CompletionDate,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM,CumOil12Month
42,6,2017-09-30,9925.0,2061.0,49.0,275.089,275.089,9.258,258.263,6818.863,439.838,22821.2075,0.056,4150.97278,0.426,0.011,3.11189259,0.169,0.257,0.943,5.55915927886963,325341.6875
42,2,2017-10-07,9478.0,2042.0,48.0,300.346,300.346,3.12,231.585,6149.57,,30333.523,0.055,2927.76307,0.319,0.005,2.850628188,0.227,0.144,0.941,5.22825145721436,211278.40625
42,2,2017-10-07,9295.0,2145.0,,299.14,299.14,228.466,228.466,5917.984,,16238.109,0.047,2230.759101,0.445,0.006,1.97709983,0.173,0.177,0.944,5.21760225296021,201117.609375
42,5,2017-08-11,9894.0,1995.0,,274.886,274.886,249.005,249.005,6560.6,,24069.54,0.048,3267.356095,0.311,0.003,2.505398443,0.166,0.338,0.941,5.35674142837524,297255.625
42,6,2017-08-16,10403.0,2007.0,49.0,291.223,291.223,219.828,219.828,6809.605,442.147,24158.275,0.057,4188.98157,0.386,0.009,3.065974199,0.162,0.28,0.941,5.69943571090698,240883.1875
42,2,2017-08-01,10404.0,2013.0,48.0,302.387,302.387,221.286,221.286,6146.45,,29350.566,0.052,3002.791879,0.3,0.005,2.808482101,0.225,0.148,0.941,5.60671854019165,151234.765625
42,2,2017-10-09,10424.0,2068.0,48.0,302.534,302.534,221.286,221.286,5925.164,,17631.425,0.049,2220.281026,0.557,0.005,1.989802059,0.233,0.117,0.941,5.64653539657593,155705.328125
42,5,2017-08-05,10421.0,2099.0,51.0,261.164,261.164,219.828,219.828,6589.778,,22530.211,0.044,3498.585066,0.291,0.004,2.23530746,0.143,0.407,0.941,5.82187271118164,244439.71875
42,6,2017-07-20,10405.0,2075.0,50.0,261.733,261.733,225.436,225.436,6815.214,446.423,24021.112,0.057,4173.161649,0.398,0.009,3.145815534,0.164,0.268,0.941,5.80280351638794,397864.96875
42,5,2017-02-08,7616.0,2026.0,51.0,16.306,16.306,5.379,255.394,6512.192,,15224.485,0.034,3250.082924,0.481,0.019,2.244518613,0.171,0.321,0.971,4.48258018493652,109156.7109375
42,6,2017-02-08,7664.0,1962.0,51.0,454.421,454.421,12.294,12.294,6925.204,239.391,8271.295,0.037,4098.571071,0.507,0.022,2.169097069,0.133,0.371,0.971,4.50318336486816,110990.3828125
42,5,2017-02-08,7732.0,1970.0,50.0,,,,,6460.013671875,,12304.38,0.047,3466.309141,0.593,0.019,2.26070348,0.2,0.209,0.971,4.49754190444946,477447.59375
42,2,2017-02-16,7703.0,,,13.751,13.751,269.108,269.108,6222.666,,28108.395,0.055,2927.381829,0.408,0.022,2.677106932,0.231,0.155,0.972,4.56309652328491,116930.8984375
42,6,2017-02-16,7425.0,1618.0,52.0,223.902,223.902,184.076,184.076,6914.474,244.94,8319.701,0.04,4064.374795,0.519,0.022,2.188812506,0.136,0.363,0.972,4.11342144012451,76212.546875
42,7,2017-02-16,7607.0,1532.0,52.0,224.872,224.872,184.076,184.076,7098.551,,5592.534,0.055,4511.283332,0.712,,2.108009425,0.224,0.197,0.971,4.07648992538452,29439.916015625
42,2,2017-02-10,7126.0,1593.0,52.0,217.206,217.206,149.82,149.82,6072.846,,26598.354,0.054,2875.917937,0.417,0.022,2.490022446,0.242,0.131,0.971,3.85157179832458,271021.78125
42,2,2017-02-10,7519.0,1517.0,48.0,12.574,12.574,63.519,213.339,6286.185,,18391.435,0.055,3241.869889,0.589,0.022,2.328740912,0.236,0.133,0.971,3.93229222297668,136142.890625
42,5,2017-02-10,7657.0,1494.0,48.0,12.707,12.707,5.379,5.379,6506.813,,15587.284,0.034,3200.692204,0.464,0.019,2.259477078,0.173,0.316,0.971,3.99800515174866,61698.3828125
